X,Y,Z,SIGNAL_STRENGTH
-313,-5,568,35
-398,-7,419,35
-405,-7,333,50
-394,-7,255,70
-382,-7,229,167
-383,-7,214,175
-391,-7,201,167
-387,-7,184,167
-387,-7,170,183
-391,-7,156,175
-391,-7,142,183
-380,-7,124,167
-387,-7,114,183
-388,-7,100,175
-383,-7,86,167
-388,-7,74,175
-384,-7,61,175
-386,-7,49,175
-382,-7,38,183
-384,-7,25,175
-3737,-65,-710,25
116,2,-53,84
128,2,-54,175
138,2,-52,175
177,3,-53,98
223,4,-57,159
342,6,-44,70
380,7,-37,167
384,7,-25,183
380,7,-12,175
344,6,1,167
362,6,13,175
375,7,25,167
381,7,37,175
391,7,53,175
381,7,66,159
408,7,125,40
381,7,171,35
353,6,215,60
374,7,271,98
385,7,300,159
382,7,320,167
366,6,378,70
326,6,439,35
229,4,409,30
943,16,3629,25
-343,-6,603,45
-394,-7,523,40
-409,-7,417,35
-399,-7,313,55
-393,-7,245,70
-388,-7,226,167
-385,-7,208,167
-391,-7,195,167
-391,-7,180,175
-383,-7,163,167
-392,-7,151,175
-393,-7,137,167
-386,-7,121,175
-390,-7,110,183
-387,-7,95,183
-383,-7,82,175
-389,-7,71,175
-383,-7,57,175
-385,-7,45,167
-384,-7,32,175
-387,-7,-15,45
189,3,-195,35
116,2,-54,70
134,2,-57,175
143,3,-56,175
153,3,-54,167
174,3,-56,175
191,3,-55,167
221,4,-55,159
348,6,-45,70
380,7,-37,175
380,7,-24,175
375,7,-13,183
347,6,2,159
364,6,13,175
384,7,26,175
382,7,38,167
386,7,51,175
382,7,63,159
405,7,121,45
389,7,172,35
359,6,215,50
373,7,266,98
382,7,294,159
372,6,346,84
351,6,422,65
243,4,381,30
-44,-1,216,40
-391,-7,457,55
-405,-7,366,45
-394,-7,276,60
-392,-7,230,98
-392,-7,213,159
-389,-7,196,167
-388,-7,180,175
-386,-7,165,183
-388,-7,151,167
-390,-7,138,175
-388,-7,123,175
-386,-7,109,175
-388,-7,96,175
-385,-7,84,183
-387,-7,70,175
-382,-7,57,175
-388,-7,46,175
-386,-7,36,175
-376,-7,18,167
118,2,-55,98
124,2,-53,183
140,2,-55,175
154,3,-55,167
170,3,-56,175
189,3,-55,175
270,5,-47,70
369,6,-52,159
375,7,-41,167
378,7,-29,175
378,7,-16,183
354,6,-3,167
363,6,9,159
376,7,22,183
379,7,34,183
380,7,46,175
379,7,59,167
399,7,116,45
407,7,175,40
357,6,212,50
369,6,263,98
384,7,295,159
378,7,312,175
382,7,340,159
362,6,406,70
266,5,391,40
-268,-5,578,25
-401,-7,492,50
-397,-7,375,35
-396,-7,287,55
-392,-7,236,84
-387,-7,216,175
-385,-7,198,167
-393,-7,187,167
-385,-7,168,183
-386,-7,155,175
-387,-7,143,183
-396,-7,132,175
-389,-7,116,183
-389,-7,103,175
-390,-7,90,167
-382,-7,75,175
-394,-7,65,175
-388,-7,51,175
-384,-7,39,175
-387,-7,27,175
113,2,-53,70
129,2,-55,183
136,2,-53,183
155,3,-54,183
173,3,-54,175
193,3,-53,167
311,5,-44,70
371,6,-41,175
377,7,-30,175
377,7,-18,175
362,6,-5,167
364,6,7,167
369,6,19,167
376,7,31,183
379,7,44,175
389,7,60,159
398,7,115,45
403,7,175,35
353,6,212,50
370,6,265,98
383,7,296,159
380,7,316,167
362,6,370,84
329,6,437,45
222,4,392,40
-318,-6,584,40
-391,-7,544,40
-394,-7,422,70
-409,-7,338,45
-392,-7,251,70
-386,-7,230,167
-383,-7,212,175
-386,-7,198,167
-392,-7,186,167
-385,-7,167,175
-386,-7,154,167
-386,-7,141,175
-384,-7,125,183
-387,-7,112,175
-393,-7,103,175
-389,-7,88,167
-380,-7,73,175
-386,-7,64,175
-388,-7,53,175
-387,-7,42,191
-388,-7,29,175
114,2,-52,84
127,2,-54,175
136,2,-53,175
169,3,-52,98
200,3,-53,167
331,6,-43,70
377,7,-36,175
381,7,-25,167
376,7,-12,175
350,6,2,167
361,6,13,175
379,7,26,167
377,7,38,175
387,7,53,175
385,7,69,167
399,7,126,45
391,7,180,70
356,6,223,65
