X,Y,Z,SIGNAL_STRENGTH
57,-1,27,175
57,-1,29,167
60,-1,33,183
57,-1,34,167
62,-1,40,167
54,-1,37,167
63,-1,46,167
60,-1,47,175
57,-1,47,167
60,-1,54,159
58,-1,55,159
58,-1,59,167
64,-1,69,159
64,-1,74,159
56,-1,76,98
59,-1,85,167
60,-1,93,159
58,-1,96,175
59,-1,106,183
100,-2,214,98
97,-2,225,175
88,-2,224,183
78,-1,219,175
71,-1,217,175
65,-1,225,159
58,-1,225,175
48,-1,218,175
43,-1,220,183
37,-1,221,167
30,-1,222,183
23,0,217,191
17,0,214,175
10,0,218,175
4,0,214,183
-1,0,216,183
-7,0,217,183
-14,0,218,191
-20,0,218,183
-26,0,216,183
-31,1,213,183
-38,1,216,183
-45,1,217,183
-51,1,218,183
-59,1,220,191
-64,1,218,175
-71,1,219,183
-78,1,216,183
-96,2,213,98
-106,2,218,159
-114,2,215,167
-123,2,215,175
-128,2,209,175
-141,2,215,167
-148,3,210,167
-163,3,216,167
-172,3,214,159
-181,3,211,175
-197,3,213,159
-200,3,186,98
-191,3,166,167
-170,3,135,167
-103,2,64,70
-97,2,56,167
-98,2,54,175
-98,2,50,183
-97,2,45,167
-94,2,40,175
-92,2,36,175
-95,2,34,183
-100,2,32,167
-100,2,29,183
-103,2,26,175
-94,2,17,98
-95,2,14,175
-91,2,10,167
-98,2,8,167
-95,2,5,175
-93,2,2,167
-90,2,-1,159
-94,2,-4,175
-73,1,-11,159
-78,1,-22,40
57,-1,-28,70
58,-1,-26,175
60,-1,-25,175
63,-1,-24,175
60,-1,-21,167
58,-1,-18,175
63,-1,-17,175
59,-1,-14,167
64,-1,-13,167
57,-1,-10,175
58,-1,-9,175
55,-1,-7,175
64,-1,-5,175
67,-1,-4,183
67,-1,-2,175
59,-1,0,175
59,-1,2,167
64,-1,5,167
66,-1,7,167
65,-1,9,167
61,-1,10,183
60,-1,12,167
62,-1,14,175
62,-1,16,175
65,-1,20,183
62,-1,21,183
55,-1,21,175
64,-1,26,175
65,-1,29,175
62,-1,30,175
57,-1,30,175
57,-1,32,175
63,-1,39,175
58,-1,38,183
57,-1,40,183
59,-1,45,159
65,-1,53,159
58,-1,50,167
63,-1,59,167
62,-1,61,175
65,-1,68,159
59,-1,68,159
59,-1,72,167
55,-1,71,167
57,-1,78,167
58,-1,85,159
57,-1,89,167
62,-1,104,183
59,-1,108,175
108,-2,214,167
103,-2,222,183
94,-2,220,167
86,-2,223,183
68,-1,223,98
61,-1,224,191
53,-1,222,175
45,-1,216,183
40,-1,220,191
33,-1,217,175
28,0,218,183
21,0,218,183
15,0,216,175
9,0,222,183
3,0,219,183
-3,0,218,183
-9,0,218,183
-15,0,218,183
-21,0,221,183
-27,0,218,175
-33,1,213,175
-39,1,213,191
-45,1,215,183
-52,1,217,175
-60,1,220,183
-67,1,218,183
-74,1,219,183
-81,1,216,175
-90,2,219,167
-95,2,213,175
-103,2,215,167
-110,2,211,175
-117,2,211,183
-129,2,219,159
-133,2,211,175
-146,3,214,167
-158,3,218,183
-165,3,212,167
-178,3,216,175
-194,3,219,159
-193,3,205,159
-195,3,193,175
-195,3,181,167
-192,3,168,167
-179,3,145,175
-122,2,79,70
-95,2,57,183
-97,2,55,183
-94,2,50,183
-90,2,45,183
-93,2,42,175
-97,2,40,167
-88,2,33,175
-97,2,33,167
-98,2,30,159
-103,2,28,167
-100,2,24,167
-98,2,20,175
-95,2,16,175
-97,2,13,175
-93,2,10,183
-89,2,7,175
-96,2,4,167
-88,2,1,159
-101,2,-2,175
-94,2,-5,167
-103,2,-19,40
-63,1,-20,35
37,-1,-23,45
60,-1,-30,84
67,-1,-31,175
59,-1,-25,175
63,-1,-24,183
65,-1,-23,175
62,-1,-20,175
63,-1,-18,167
68,-1,-17,175
68,-1,-15,175
60,-1,-11,183
62,-1,-9,175
63,-1,-7,175
61,-1,-5,175
61,-1,-3,167
63,-1,-1,183
61,-1,-40,55
57,-1,-29,70
64,-1,-30,167
64,-1,-27,183
61,-1,-24,183
58,-1,-20,183
69,-1,-22,167
58,-1,-16,175
58,-1,-15,167
60,-1,-13,175
62,-1,-11,183
66,-1,-10,167
62,-1,-7,175
60,-1,-5,175
57,-1,-3,167
60,-1,-1,183
21,0,155,183
17,0,158,191
10,0,135,159
-1,0,105,98
-4,0,100,167
-7,0,94,175
-9,0,93,183
-12,0,93,175
-16,0,98,167
-19,0,98,167
-25,0,90,98
-26,0,86,175
-29,1,85,175
-30,1,80,167
-37,1,93,175
-34,1,80,159
-37,1,79,167
-25,0,30,40
-1631,28,1121,25
79,-3,117,175
75,-3,117,183
73,-3,124,167
69,-2,125,159
62,-2,122,183
59,-2,125,175
55,-2,125,183
54,-2,125,183
52,-2,131,183
47,-2,129,183
45,-2,133,175
-867,30,2555,25
63,-2,1,175
64,-2,3,175
62,-2,5,175
59,-2,6,159
63,-2,9,175
66,-2,12,175
64,-2,13,175
64,-2,16,175
57,-2,16,175
62,-2,19,175
59,-2,20,175
61,-2,23,175
55,-2,23,183
59,-2,27,175
57,-2,28,167
51,-2,27,167
61,-2,35,167
59,-2,36,175
60,-2,40,175
65,-2,46,175
63,-2,48,159
60,-2,48,175
63,-2,54,167
61,-2,61,98
61,-2,66,175
57,-2,66,167
61,-2,74,159
55,-2,72,159
56,-2,79,175
56,-2,84,167
57,-2,92,175
57,-2,100,167
84,-3,158,159
102,-4,209,167
101,-4,222,175
94,-3,221,183
87,-3,225,175
77,-3,220,175
69,-2,220,175
62,-2,217,175
56,-2,220,183
49,-2,213,183
42,-1,212,183
37,-1,218,183
31,-1,219,183
24,-1,215,183
18,-1,217,183
12,0,219,183
6,0,213,183
0,0,222,183
-7,0,213,183
-13,0,217,175
-19,1,217,175
-25,1,216,191
-30,1,215,183
-36,1,214,183
-43,1,214,183
-50,2,217,183
-56,2,217,191
-63,2,219,175
-72,3,222,167
-79,3,217,183
-90,3,223,183
-95,3,219,183
-104,4,222,175
-110,4,216,183
-120,4,219,175
-129,5,216,175
-138,5,215,175
-149,5,217,175
-159,6,216,175
-169,6,215,175
-184,6,220,159
-193,7,215,175
-193,7,203,167
-203,7,183,98
-174,6,126,70
-134,5,91,175
-133,5,86,175
-130,5,79,183
-140,5,80,175
-142,5,76,175
-135,5,67,191
-134,5,61,175
-131,5,55,183
-133,5,52,175
-137,5,48,175
-139,5,45,183
-133,5,39,191
-132,5,34,183
-139,5,32,175
-136,5,27,183
-135,5,23,191
-137,5,19,183
-137,5,15,183
-133,5,11,175
-132,5,7,183
-135,5,4,183
-136,5,0,183
-136,5,-3,183
-139,5,-7,175
-32,1,-10,45
65,-2,-32,84
64,-2,-29,167
66,-2,-28,175
64,-2,-24,175
68,-2,-23,175
66,-2,-20,175
68,-2,-19,175
67,-2,-16,167
72,-3,-15,175
67,-2,-12,183
64,-2,-9,175
64,-2,-7,175
62,-2,-5,175
62,-2,-3,175
61,-2,-1,175
66,-2,1,183
63,-2,3,167
60,-2,5,167
63,-2,7,167
59,-2,9,175
63,-2,11,175
60,-2,13,175
61,-2,15,167
64,-2,18,175
57,-2,18,159
57,-2,20,175
60,-2,23,175
52,-2,22,175
57,-2,26,175
63,-2,31,167
55,-2,30,175
50,-2,29,175
58,-2,37,183
56,-2,37,167
56,-2,40,159
56,-2,43,167
54,-2,44,167
59,-2,51,159
63,-2,59,167
62,-2,68,98
62,-2,73,167
60,-2,75,183
57,-2,76,167
59,-2,85,175
57,-2,88,167
59,-2,98,167
57,-2,102,175
99,-3,191,159
104,-4,218,159
98,-3,223,175
91,-3,231,175
78,-3,219,175
70,-2,218,175
63,-2,216,183
57,-2,219,183
52,-2,222,183
44,-2,216,183
36,-1,215,175
31,-1,217,183
26,-1,221,183
20,-1,224,183
14,0,217,183
7,0,221,175
0,0,217,183
-6,0,212,183
-12,0,215,175
-18,1,213,183
-25,1,214,191
-32,1,216,175
-39,1,216,183
-45,2,216,183
-52,2,217,175
-59,2,219,183
-65,2,217,183
-74,3,219,167
-84,3,226,183
-89,3,216,175
-98,3,217,175
-105,4,213,167
-114,4,214,175
-120,4,212,183
-132,5,215,175
-138,5,211,167
-145,5,207,167
-160,6,212,175
-177,6,218,175
-188,7,218,159
-193,7,210,167
-193,7,196,167
-191,7,182,167
-195,7,174,159
-196,7,165,175
-136,5,93,84
-136,5,88,183
-130,5,79,183
-143,5,80,167
-137,5,71,175
-138,5,66,159
-139,5,62,175
-133,5,55,175
-135,5,51,183
-140,5,49,183
-140,5,44,175
-139,5,38,183
-145,5,36,183
-139,5,30,175
-136,5,25,175
-144,5,21,183
-138,5,17,175
-137,5,13,175
-135,5,9,183
-131,5,5,183
-135,5,1,183
-136,5,-3,183
-136,5,-6,183
-125,4,-22,45
-68,2,-21,40
64,-2,-31,84
67,-2,-30,175
67,-2,-28,175
65,-2,-24,183
63,-2,-21,167
62,-2,-19,167
70,-2,-19,175
62,-2,-15,167
68,-2,-14,167
60,-2,-10,175
57,-2,-8,167
68,-2,-7,175
58,-2,-5,175
57,-2,-3,167
61,-2,-1,167
60,-2,1,175
63,-2,3,175
59,-2,5,175
66,-2,7,175
63,-2,9,175
64,-2,11,183
61,-2,13,167
67,-2,16,175
60,-2,17,167
59,-2,19,167
54,-2,19,167
53,-2,21,175
55,-2,23,175
59,-2,27,167
56,-2,28,167
60,-2,32,175
61,-2,36,175
62,-2,39,175
59,-2,40,175
58,-2,42,175
59,-2,45,175
63,-2,51,159
59,-2,51,159
56,-2,53,159
64,-2,65,167
64,-2,70,159
58,-2,73,98
56,-2,76,167
63,-2,91,175
58,-2,91,175
59,-2,97,175
60,-2,106,183
98,-3,190,167
106,-4,221,175
100,-4,225,175
92,-3,223,183
84,-3,224,167
76,-3,220,183
70,-2,222,183
61,-2,218,175
57,-2,224,183
49,-2,217,183
44,-2,224,183
37,-1,223,175
31,-1,225,183
24,-1,219,183
18,-1,219,175
12,0,215,175
5,0,217,183
-10,0,213,112
-16,1,216,183
-24,1,222,175
-31,1,221,183
-35,1,215,183
-42,1,219,183
-48,2,218,183
-55,2,219,175
-61,2,218,183
-71,2,221,175
-77,3,218,175
-83,3,216,183
-89,3,215,175
-99,3,217,167
