X,Y,Z,SIGNAL_STRENGTH
3,-14,67,98
3,-12,64,159
2,-9,58,159
2,-10,70,159
2,-7,59,159
1,-6,66,159
1,-4,61,167
1,-3,61,159
0,-2,65,167
0,0,64,167
0,1,64,167
-1,2,62,183
-1,3,59,183
-1,5,64,167
-1,6,60,159
-2,9,60,98
-3,12,61,98
-4,17,65,98
-5,18,65,167
-5,21,61,98
-6,25,67,159
-7,28,65,84
-8,31,63,98
-9,35,62,98
-10,41,63,84
-11,43,58,84
-13,51,61,84
-14,56,59,84
-15,59,55,84
-17,69,57,84
-19,75,55,98
-21,82,58,167
-21,84,56,167
-23,94,61,159
-22,87,54,175
-25,102,59,167
-50,201,101,84
-52,210,100,175
-53,214,96,159
-54,215,91,175
-54,218,87,167
-53,212,80,183
-55,219,77,167
-52,209,69,175
-55,222,68,175
-54,217,62,175
-55,219,57,183
-55,221,52,183
-54,217,46,175
-54,215,42,167
-54,218,37,175
-53,213,32,183
-52,209,27,183
-53,213,23,167
-52,209,18,183
-52,210,13,175
-53,211,10,191
-53,213,6,175
-53,214,1,175
-53,212,-3,175
-52,209,-7,175
-52,210,-10,175
-53,214,-15,167
-53,212,-20,175
-54,218,-24,175
-53,213,-27,175
-52,209,-32,175
-52,209,-36,183
-53,213,-42,175
-52,210,-46,183
-53,214,-51,183
-53,214,-55,183
-52,209,-58,183
-52,207,-62,175
-53,212,-68,175
-52,210,-72,183
-54,215,-79,175
-51,205,-80,167
-53,214,-89,183
-53,212,-93,159
-51,203,-95,167
-52,207,-102,167
-53,212,-109,167
-53,212,-115,167
-52,208,-129,98
-52,207,-143,98
-52,208,-163,84
-51,205,-183,84
-49,197,-198,84
-34,137,-163,50
-27,108,-152,70
-24,96,-141,159
-22,90,-139,167
-22,89,-143,167
-20,81,-147,98
-19,77,-147,175
-18,70,-139,167
-16,65,-135,183
-16,63,-139,183
-15,59,-137,175
-13,54,-133,175
-14,55,-145,175
-12,49,-136,167
-12,48,-143,167
-11,43,-138,183
-10,40,-139,183
-9,37,-136,175
-8,33,-129,175
-8,31,-132,183
-7,29,-134,183
-7,27,-141,159
-6,23,-132,183
-5,21,-135,183
-4,18,-131,167
-4,16,-136,183
-3,14,-136,191
-3,10,-130,167
-2,8,-138,183
-1,6,-139,167
-1,3,-135,167
0,0,-135,183
1,-3,-134,183
1,-5,-136,175
2,-8,-134,175
2,-10,-129,175
0,0,-1,55
0,0,-1,35
0,0,-1,35
3,-13,-29,35
0,0,-1,20
0,-1,-1,30
0,-1,-1,40
0,-1,-1,35
0,-1,-1,35
0,-1,-1,35
0,-1,-1,35
574,-2302,-1219,25
0,-1,0,30
0,-1,0,25
0,-1,0,35
0,-1,0,20
0,-1,0,25
0,-1,0,20
0,-1,0,15
0,-1,0,25
0,-1,0,35
0,-1,0,35
0,-1,0,35
799,-3206,1976,35
0,-1,1,35
0,-1,1,25
0,-1,1,35
0,-1,1,40
1,-3,4,45
0,0,1,40
5,-20,43,60
6,-26,67,84
5,-19,63,84
4,-15,62,84
3,-12,63,98
2,-9,64,98
1,-5,61,98
1,-4,56,167
0,-1,58,98
0,0,59,167
0,1,66,175
-1,2,60,191
-1,4,62,167
-1,5,59,167
-2,8,57,98
-2,9,59,159
-2,9,52,175
-3,12,61,159
-4,17,64,84
-4,17,61,167
-5,19,61,167
-5,21,63,159
-6,22,62,159
-6,23,58,159
-7,28,62,98
-8,33,63,98
-8,32,57,159
-9,37,59,98
-11,42,60,84
-11,44,55,84
-13,53,58,84
-15,61,59,84
-16,64,54,84
-19,77,58,84
-21,84,56,98
-23,94,60,175
-23,93,57,167
-25,99,58,167
-49,198,100,84
-54,216,104,159
-54,217,99,167
-53,211,91,167
-52,210,85,167
-53,211,80,167
-54,217,78,183
-56,223,75,175
-52,210,66,175
-53,212,61,167
-53,214,58,175
-55,219,54,167
-53,214,48,167
-57,227,45,167
-53,211,38,175
-54,217,34,183
-54,215,29,183
-51,206,24,183
-53,211,20,175
-52,209,16,183
-51,206,12,175
-53,213,8,175
-53,213,4,175
-53,212,0,175
-54,215,-5,175
-55,221,-10,175
-53,213,-13,167
-54,219,-19,175
-53,212,-22,183
-53,212,-26,175
-53,213,-30,175
-52,208,-33,183
-54,217,-40,167
-53,213,-44,167
-51,206,-47,183
-52,208,-53,167
-52,208,-57,167
-53,211,-63,167
-53,212,-68,175
-52,209,-72,175
-51,206,-75,183
-53,211,-83,175
-53,214,-89,167
-52,210,-93,167
-54,216,-101,175
-53,212,-104,175
-52,208,-109,159
-53,213,-118,167
-52,209,-123,159
-52,207,-136,98
-53,211,-158,84
-51,204,-173,84
-51,206,-197,84
-43,172,-193,70
-27,108,-144,70
-23,91,-138,84
-21,84,-132,167
-22,87,-143,167
-20,80,-138,175
-19,76,-137,175
-18,71,-136,167
-18,70,-142,167
-16,64,-136,175
-15,61,-136,167
-14,56,-132,183
-13,52,-130,175
-13,52,-138,183
-12,50,-142,167
-11,44,-133,175
-10,41,-135,175
-9,38,-134,175
-9,36,-135,175
-8,33,-134,175
-8,30,-133,175
-7,28,-135,183
-6,25,-133,159
-5,22,-132,183
-5,20,-137,175
-4,17,-135,167
-3,14,-133,183
-3,12,-138,175
-2,9,-132,175
-2,6,-132,183
-1,3,-133,183
0,1,-132,167
0,-2,-132,183
1,-4,-130,175
2,-7,-127,159
2,-10,-133,183
5,-21,-134,40
0,0,-1,30
0,0,-1,25
5,-21,-50,30
0,0,-1,25
0,-1,-1,25
0,-1,-1,15
1310,-5254,-5935,30
0,-1,-1,25
0,-1,-1,25
0,-1,-1,25
0,-1,0,30
0,-1,0,20
0,-1,0,25
0,-1,0,35
0,-1,0,30
0,-1,0,30
0,-1,0,20
0,-1,0,25
1601,-6422,1152,30
0,-1,0,20
0,-1,0,25
0,-1,0,30
0,-1,0,30
0,-1,1,25
0,-1,1,25
0,-1,1,25
0,-1,1,25
0,-1,1,30
0,-1,1,55
0,0,1,55
5,-22,52,70
6,-24,70,84
5,-19,69,84
3,-14,62,98
3,-13,65,167
3,-11,66,159
3,-10,67,159
1,-6,59,98
1,-5,62,167
1,-3,61,159
0,-2,59,167
0,-1,63,167
0,1,67,175
0,2,64,191
-1,3,62,175
-1,4,65,175
-2,8,63,98
-2,8,56,159
-3,12,62,98
-4,16,62,84
-5,20,63,84
-6,23,60,98
-7,27,60,98
-9,34,66,84
-9,35,63,159
-10,41,66,98
-11,43,60,84
-11,46,56,84
-14,56,60,84
-16,63,60,84
-17,68,58,84
-19,78,58,84
-20,80,57,167
-21,86,58,175
-22,89,58,175
-23,92,57,167
-26,103,61,159
-37,149,84,175
-51,204,107,159
-54,215,99,98
-54,218,95,167
-55,220,90,159
-54,216,83,167
-55,219,79,167
-54,218,73,167
-55,221,69,167
-55,220,63,167
-53,212,57,183
-55,219,54,167
-53,211,47,167
-54,215,43,175
-54,215,38,175
-53,212,33,175
-54,217,29,167
-56,224,25,175
-52,210,19,167
-54,216,16,175
-52,209,11,183
-52,210,6,175
-55,220,2,175
-53,213,-2,175
-53,211,-7,175
-54,216,-11,183
-52,209,-15,175
-53,214,-20,167
-53,213,-25,183
-54,216,-30,175
-52,209,-34,167
-53,214,-40,175
-52,209,-43,175
-53,213,-48,175
-52,209,-51,175
-53,213,-57,175
-53,211,-61,167
-54,215,-68,167
-53,213,-72,175
-53,214,-77,167
-51,203,-79,167
-53,213,-87,175
-54,216,-94,167
-52,209,-96,183
-53,211,-103,175
-52,210,-108,167
-52,207,-112,159
-52,209,-120,159
-53,212,-129,159
-53,212,-135,159
-53,212,-152,98
-53,211,-161,159
-52,207,-179,84
-51,205,-201,84
-41,164,-190,55
-27,108,-149,60
-24,96,-139,167
-22,88,-133,167
-22,89,-140,167
-23,91,-150,159
-20,81,-139,167
-19,74,-144,98
-17,69,-142,159
-17,67,-144,175
-15,60,-136,167
-14,56,-136,183
-13,53,-136,175
-12,48,-131,175
-12,46,-136,183
-11,43,-135,175
-10,39,-131,175
-10,39,-138,191
-9,36,-137,167
-8,32,-134,175
-7,29,-133,191
-7,26,-130,183
-6,23,-127,183
-5,21,-126,183
-5,19,-132,175
-4,17,-139,175
-3,14,-134,159
-3,11,-133,167
-2,9,-135,183
-1,6,-134,175
-1,3,-138,175
0,1,-129,175
1,-2,-139,183
1,-5,-130,167
2,-7,-129,175
2,-10,-133,175
4,-17,-110,45
0,0,-1,40
307,-1232,-3767,25
3,-11,-27,30
0,0,-1,20
0,-1,-1,30
0,-1,-1,20
0,-1,-1,25
0,-1,-1,20
0,-1,-1,30
0,-1,-1,25
0,-1,0,25
0,-1,0,25
0,-1,0,30
1705,-6840,-1741,25
0,-1,0,25
0,-1,0,30
0,-1,0,25
0,-1,0,25
0,-1,0,35
0,-1,0,30
0,-1,0,25
0,-1,0,30
0,-1,0,35
0,-1,1,35
0,-1,1,25
700,-2809,2747,30
0,-1,1,30
0,-1,1,25
0,-1,1,55
0,0,1,55
6,-24,60,70
5,-21,63,70
4,-16,62,84
3,-14,66,98
3,-12,67,159
2,-10,61,167
2,-7,62,98
1,-6,67,159
1,-3,57,159
1,-2,57,167
0,-1,60,175
0,0,63,167
0,1,64,175
-1,2,60,183
-1,4,66,175
-1,5,60,167
-2,7,66,159
-2,8,62,159
-2,8,53,159
-3,12,59,98
-4,16,59,84
-4,16,57,159
-5,21,59,98
-6,25,61,98
-7,28,60,98
-7,30,59,167
-9,34,59,84
-9,38,58,98
-12,47,63,84
-11,46,54,84
-14,56,58,70
-16,65,59,84
-18,72,58,98
-19,75,58,167
-21,83,57,98
-21,85,56,167
-24,96,61,175
-24,97,59,175
-26,103,59,183
-51,204,101,84
-53,214,101,159
-54,217,97,167
-54,216,91,175
-56,223,88,167
-52,210,78,159
-53,211,73,167
-54,218,71,167
-53,214,64,175
-54,216,60,167
-54,217,55,175
-55,221,51,175
-53,214,44,167
-55,220,35,112
-53,214,29,175
-53,212,25,183
-53,212,21,175
-53,211,17,167
-53,214,12,175
-52,208,7,175
-53,212,3,167
-52,209,-1,175
-53,214,-5,175
-53,214,-10,175
-52,210,-14,175
-52,210,-18,175
-54,218,-23,183
-53,214,-27,175
-55,219,-33,167
-54,216,-36,175
-52,210,-40,175
-53,211,-44,183
-53,213,-48,183
-52,209,-52,183
-53,213,-58,175
-52,209,-61,183
-52,210,-66,183
-52,209,-71,175
-51,205,-74,167
-53,212,-82,167
-51,204,-84,175
-53,214,-94,167
-52,208,-97,167
-53,213,-104,175
-53,212,-109,159
-53,214,-117,159
-53,214,-123,159
-52,210,-136,98
-53,211,-153,98
-52,207,-158,159
-52,208,-181,84
-50,199,-195,84
-41,164,-191,55
-27,108,-149,65
-24,97,-140,167
-23,92,-139,159
-23,92,-146,167
-21,86,-142,159
-21,84,-145,175
-18,72,-141,98
-17,68,-138,175
-16,66,-142,175
-14,58,-131,159
-14,55,-134,175
-12,49,-141,84
-11,45,-139,175
-10,40,-134,175
-10,38,-135,183
-8,34,-129,175
-8,32,-132,183
-7,29,-131,175
-7,27,-134,183
-6,24,-131,183
-5,22,-131,183
-4,16,-134,98
-3,13,-131,183
-3,10,-129,175
-2,8,-135,175
-1,5,-130,175
-1,3,-135,175
0,0,-132,175
1,-3,-135,183
1,-5,-132,183
2,-7,-132,183
2,-10,-135,183
5,-20,-128,40
0,0,-1,55
0,0,-1,40
3,-11,-27,40
0,0,-1,25
0,-1,-1,30
0,-1,-1,30
0,-1,-1,30
