X,Y,Z,SIGNAL_STRENGTH
-129,42,37,183
-126,41,32,175
-124,40,27,175
-126,41,23,175
-125,41,19,175
-130,42,15,175
-128,42,10,183
-127,41,6,183
-126,41,2,175
-128,42,-2,183
-124,40,-6,183
-126,41,-9,175
-129,42,-14,175
-2271,738,-7515,30
52,-17,-28,55
59,-19,-25,84
65,-21,-20,84
57,-18,-12,84
59,-19,-7,84
61,-20,-1,98
60,-19,1,167
58,-19,2,175
57,-18,4,167
49,-16,6,167
49,-16,7,175
52,-17,9,167
52,-17,11,175
53,-17,13,175
54,-18,16,175
57,-19,18,167
51,-17,18,175
51,-16,20,167
62,-20,27,175
55,-18,26,175
61,-20,32,159
52,-17,29,167
61,-20,37,167
55,-18,36,175
60,-19,43,159
59,-19,45,167
57,-19,47,159
57,-19,56,98
58,-19,68,84
55,-18,78,84
53,-17,80,167
55,-18,89,183
54,-18,94,167
55,-18,104,183
102,-33,208,159
100,-33,222,159
90,-29,217,167
84,-27,222,167
76,-25,221,167
66,-22,215,175
61,-20,222,175
55,-18,226,175
47,-15,216,183
40,-13,218,175
33,-11,219,167
26,-8,213,175
20,-7,221,175
14,-5,220,183
7,-2,217,175
1,0,215,183
-5,2,212,167
-12,4,215,175
-19,6,217,167
-25,8,219,183
-31,10,219,183
-37,12,213,175
-43,14,216,175
-48,16,208,183
-56,18,213,175
-64,21,217,175
-72,23,217,167
-81,26,221,167
-87,28,218,175
-94,30,218,175
-101,33,218,175
-106,35,211,175
-119,39,218,175
-127,41,216,167
-136,44,217,167
-154,50,224,159
-173,56,212,98
-188,61,213,167
-194,63,205,159
-192,62,188,159
-138,45,108,70
-128,42,94,159
-137,45,94,167
-125,41,80,175
-131,43,78,175
-127,41,70,167
-127,41,64,175
-133,43,62,175
-126,41,54,175
-123,40,48,175
-124,40,43,175
-125,41,40,175
-128,42,36,183
-129,42,32,175
-125,41,26,175
-128,42,23,175
-127,41,18,175
-127,41,14,175
-126,41,10,175
-127,41,6,175
-128,42,2,175
-126,41,-3,175
-128,42,-7,175
-130,42,-11,183
-134,44,-30,35
48,-16,-164,25
43,-14,-26,50
63,-21,-35,159
63,-21,-27,84
61,-20,-20,84
61,-20,-14,84
58,-19,-8,84
64,-21,-3,98
52,-17,0,167
62,-20,2,159
57,-19,4,167
62,-20,6,167
56,-18,7,167
54,-17,9,175
55,-18,11,167
59,-19,14,167
52,-17,14,167
57,-18,17,183
62,-20,21,167
58,-19,22,175
55,-18,23,175
59,-19,27,167
54,-17,30,98
54,-18,33,175
55,-18,36,159
63,-20,43,167
56,-18,42,167
59,-19,47,167
56,-18,54,98
57,-19,59,159
53,-17,66,84
56,-18,84,84
50,-16,80,159
51,-16,87,175
51,-17,95,175
91,-30,205,98
89,-29,217,175
85,-28,226,167
73,-24,215,175
68,-22,222,167
60,-19,219,175
52,-17,216,175
45,-15,217,167
41,-13,223,175
33,-11,221,175
26,-9,214,183
21,-7,226,175
14,-5,214,175
8,-2,214,175
1,0,219,175
-5,2,218,175
-12,4,216,175
-19,6,219,175
-25,8,216,175
-31,10,213,175
-37,12,214,175
-44,14,218,175
-49,16,215,183
-56,18,216,175
-63,21,216,175
-71,23,217,167
-77,25,214,175
-85,28,215,175
-95,31,219,175
-103,33,219,159
-108,35,213,183
-117,38,214,167
-122,40,208,175
-139,45,220,159
-163,53,216,98
-191,62,211,84
-177,57,158,70
-137,45,99,70
-127,41,86,175
-130,42,83,175
-126,41,75,175
-129,42,71,175
-126,41,64,167
-126,41,60,175
-126,41,55,183
-127,41,51,167
-124,40,45,175
-128,42,42,175
-132,43,38,175
-128,41,32,175
-125,41,27,175
-128,42,24,175
-129,42,19,175
-131,43,15,175
-126,41,10,175
-128,42,6,175
-125,40,2,175
-126,41,-2,175
-124,40,-6,183
-130,42,-10,175
-130,42,-15,183
-1858,604,-9341,35
63,-21,-37,55
59,-19,-31,159
54,-18,-23,84
63,-20,-20,84
56,-18,-12,84
56,-18,-6,84
65,-21,-1,98
58,-19,61,98
61,-20,69,159
55,-18,75,84
60,-19,88,159
55,-18,86,183
54,-18,92,159
57,-19,104,183
80,-26,159,175
93,-30,223,98
84,-27,220,183
78,-25,225,175
70,-23,222,183
63,-21,220,167
58,-19,223,167
50,-16,223,175
42,-14,213,167
38,-12,222,175
31,-10,222,167
13,-4,225,98
7,-2,221,183
0,0,220,175
-5,2,219,175
-11,4,224,175
-17,5,219,175
-23,7,218,183
-29,9,217,183
-34,11,216,183
-40,13,214,175
-48,16,225,183
-55,18,220,175
-59,19,212,175
-68,22,219,183
-72,23,210,175
-81,26,216,175
